Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,198.117493,198.470001,188.585007,189.662506,189.344727,55056400
2021-07-16,190.304993,191.570007,180.729996,181.610001,181.305679,68822400
2021-07-19,179.152496,190.419998,178.654999,187.797501,187.482819,74906000
2021-07-20,187.300003,188.380005,181.639999,186.119995,185.808121,43468700
2021-07-21,188.820007,195.270004,187.419998,194.100006,193.774734,37101700
2021-07-22,196.419998,198.869995,192.759995,195.940002,195.611679,32382600
2021-07-23,196.559998,197.000000,192.500000,195.580002,195.252258,19567200
2021-07-26,193.110001,194.419998,189.139999,192.940002,192.616714,20394300
2021-07-27,192.649994,196.220001,187.410004,192.080002,191.758163,24886300
2021-07-28,193.190002,196.460007,189.949997,195.029999,194.703232,20219100
2021-07-29,195.190002,198.529999,193.279999,196.619995,196.290527,19078100
2021-07-30,194.179993,196.300003,192.630005,194.990005,194.663269,18349700
2021-08-02,197.000000,199.610001,193.610001,197.500000,197.169037,21744400
2021-08-03,197.399994,202.220001,192.199997,198.149994,197.817978,30181100
2021-08-04,199.899994,203.179993,198.279999,202.740005,202.400314,23130900
2021-08-05,205.000000,207.330002,203.419998,206.369995,206.024200,21143500
2021-08-06,205.240005,205.699997,202.100006,203.660004,203.318726,17849700
2021-08-09,204.460007,205.080002,201.429993,202.949997,202.609924,14644300
2021-08-10,203.220001,204.300003,198.350006,199.360001,199.025970,17923800
2021-08-11,200.429993,200.490005,194.300003,196.990005,196.659927,18592500
2021-08-12,198.699997,200.289993,196.199997,199.050003,198.716461,15165200
2021-08-13,199.050003,202.139999,198.509995,201.880005,201.541733,18306300
2021-08-16,201.350006,202.869995,194.529999,199.500000,199.165726,21087600
2021-08-17,196.850006,197.699997,192.669998,194.580002,194.253967,20458500
2021-08-18,195.000000,196.339996,190.000000,190.399994,190.080933,28591300
2021-08-19,194.940002,204.949997,187.619995,197.979996,197.648285,76655500
2021-08-20,199.910004,208.649994,199.330002,208.160004,207.811218,67574100
2021-08-23,209.710007,219.970001,209.500000,219.580002,219.212082,57580700
2021-08-24,217.529999,219.589996,215.350006,217.929993,217.564819,29729900
2021-08-25,217.369995,224.699997,217.220001,222.130005,221.757813,34770100
2021-08-26,222.000000,223.399994,217.899994,220.679993,220.310211,23794000
2021-08-27,221.839996,227.220001,221.669998,226.360001,225.980728,30472200
2021-08-30,228.300003,230.429993,225.509995,226.880005,226.499847,26258000
2021-08-31,226.949997,226.949997,221.199997,223.850006,223.514328,25985000
2021-09-01,224.850006,226.970001,223.570007,224.410004,224.073502,20176700
2021-09-02,225.179993,225.929993,222.949997,223.960007,223.624191,18783400
2021-09-03,223.250000,229.860001,222.000000,228.429993,228.087463,28053200
2021-09-07,228.330002,228.990005,225.220001,226.619995,226.280167,19810700
2021-09-08,225.130005,226.100006,219.770004,223.389999,223.055008,25443400
2021-09-09,223.119995,225.380005,221.309998,221.770004,221.437424,19685600
2021-09-10,223.479996,226.259995,222.699997,224.779999,224.442932,24837600
2021-09-13,226.839996,229.639999,218.580002,221.520004,221.187805,29750000
2021-09-14,222.750000,224.100006,220.860001,222.419998,222.086472,19975500
2021-09-15,223.089996,223.669998,219.660004,223.410004,223.074982,16653800
2021-09-16,221.830002,222.770004,219.270004,222.419998,222.086472,15603300
2021-09-17,223.000000,223.210007,218.300003,219.000000,218.671585,29450300
2021-09-20,211.460007,214.330002,206.619995,211.130005,210.813400,34944000
2021-09-21,214.169998,214.250000,209.500000,212.460007,212.141403,20468800
2021-09-22,213.660004,219.600006,211.960007,219.410004,219.080978,26872600
